Order ID,Order_Date,City,Month,Hour,DayOfWeek,DayType,Total_Items,Unique_Products,Order_Value,Order_Segment,Categories,Is_Multi_Product
141256,2019-01-29 10:40:00,Portland,1,10,Tuesday,Weekday,1,1,600.0,High,Electronics,0
141257,2019-01-12 18:51:00,San Francisco,1,18,Saturday,Weekend,1,1,150.0,High,Audio,0
141258,2019-01-19 21:47:00,San Francisco,1,21,Saturday,Weekend,1,1,3.84,Low,Accessories,0
141259,2019-01-20 17:26:00,San Francisco,1,17,Sunday,Weekend,2,1,5.98,Low,Accessories,0
141260,2019-01-01 22:00:00,San Francisco,1,22,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141261,2019-01-09 18:14:00,Atlanta,1,18,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
141262,2019-01-16 12:35:00,San Francisco,1,12,Wednesday,Weekday,1,1,2.99,Low,Accessories,0
141263,2019-01-11 23:33:00,Boston,1,23,Friday,Weekday,1,1,99.99,Medium,Audio,0
141264,2019-01-03 09:46:00,New York City,1,9,Thursday,Weekday,1,1,150.0,High,Audio,0
141265,2019-01-01 16:52:00,Boston,1,16,Tuesday,Weekday,1,1,150.0,High,Audio,0
141266,2019-01-02 22:21:00,Dallas,1,22,Wednesday,Weekday,1,1,389.99,High,Electronics,0
141267,2019-01-09 08:28:00,Los Angeles,1,8,Wednesday,Weekday,1,1,150.0,High,Audio,0
141268,2019-01-14 10:13:00,New York City,1,10,Monday,Weekday,1,1,3.84,Low,Accessories,0
141269,2019-01-03 20:05:00,Los Angeles,1,20,Thursday,Weekday,1,1,389.99,High,Electronics,0
141270,2019-01-27 23:10:00,San Francisco,1,23,Sunday,Weekend,1,1,11.99,Low,Audio,0
141271,2019-01-30 10:51:00,Boston,1,10,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
141272,2019-01-12 13:09:00,New York City,1,13,Saturday,Weekend,1,1,2.99,Low,Accessories,0
141273,2019-01-29 12:04:00,Boston,1,12,Tuesday,Weekday,2,1,23.98,Medium,Audio,0
141274,2019-01-17 11:30:00,Los Angeles,1,11,Thursday,Weekday,1,1,11.95,Low,Accessories,0
141275,2019-01-07 16:06:00,Austin,1,16,Monday,Weekday,2,2,23.939999999999998,Medium,"Accessories, Audio",1
141276,2019-01-21 22:23:00,Los Angeles,1,22,Monday,Weekday,1,1,14.95,Medium,Accessories,0
141277,2019-01-13 19:07:00,Austin,1,19,Sunday,Weekend,1,1,99.99,Medium,Audio,0
141278,2019-01-26 12:14:00,New York City,1,12,Saturday,Weekend,1,1,14.95,Medium,Accessories,0
141279,2019-01-03 19:10:00,Boston,1,19,Thursday,Weekday,1,1,14.95,Medium,Accessories,0
141280,2019-01-20 16:10:00,Los Angeles,1,16,Sunday,Weekend,1,1,2.99,Low,Accessories,0
141281,2019-01-05 16:51:00,Atlanta,1,16,Saturday,Weekend,1,1,14.95,Medium,Accessories,0
141282,2019-01-11 18:10:00,New York City,1,18,Friday,Weekday,1,1,400.0,High,Electronics,0
141283,2019-01-02 16:16:00,Seattle,1,16,Wednesday,Weekday,1,1,300.0,High,Electronics,0
141284,2019-01-29 18:30:00,Los Angeles,1,18,Tuesday,Weekday,1,1,11.99,Low,Audio,0
141285,2019-01-14 14:13:00,Seattle,1,14,Monday,Weekday,3,1,8.97,Low,Accessories,0
141286,2019-01-02 20:33:00,Dallas,1,20,Wednesday,Weekday,1,1,389.99,High,Electronics,0
141287,2019-01-31 08:38:00,San Francisco,1,8,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141288,2019-01-19 08:17:00,Los Angeles,1,8,Saturday,Weekend,1,1,1700.0,High,Electronics,0
141289,2019-01-28 11:17:00,Atlanta,1,11,Monday,Weekday,1,1,109.99,Medium,Electronics,0
141290,2019-01-02 08:25:00,Los Angeles,1,8,Wednesday,Weekday,4,2,161.52,High,"Accessories, Audio",1
141291,2019-01-26 18:11:00,Los Angeles,1,18,Saturday,Weekend,1,1,3.84,Low,Accessories,0
141292,2019-01-21 08:46:00,Los Angeles,1,8,Monday,Weekday,1,1,2.99,Low,Accessories,0
141293,2019-01-18 12:21:00,Boston,1,12,Friday,Weekday,1,1,11.95,Low,Accessories,0
141294,2019-01-25 08:12:00,San Francisco,1,8,Friday,Weekday,1,1,99.99,Medium,Audio,0
141295,2019-01-06 20:06:00,Austin,1,20,Sunday,Weekend,1,1,3.84,Low,Accessories,0
141296,2019-01-20 00:21:00,Atlanta,1,0,Sunday,Weekend,1,1,11.95,Low,Accessories,0
141297,2019-01-04 11:09:00,San Francisco,1,11,Friday,Weekday,1,1,14.95,Medium,Accessories,0
141298,2019-01-21 13:24:00,Dallas,1,13,Monday,Weekday,1,1,14.95,Medium,Accessories,0
141299,2019-01-31 23:23:00,Dallas,1,23,Thursday,Weekday,1,1,2.99,Low,Accessories,0
141300,2019-01-23 10:21:00,Boston,1,10,Wednesday,Weekday,1,1,150.0,High,Audio,0
141301,2019-01-27 11:58:00,New York City,1,11,Sunday,Weekend,1,1,150.0,High,Audio,0
141302,2019-01-18 20:12:00,Portland,1,20,Friday,Weekday,2,1,5.98,Low,Accessories,0
141303,2019-01-19 09:23:00,Seattle,1,9,Saturday,Weekend,1,1,3.84,Low,Accessories,0
141304,2019-01-28 13:10:00,Los Angeles,1,13,Monday,Weekday,1,1,11.95,Low,Accessories,0
141305,2019-01-27 16:51:00,Austin,1,16,Sunday,Weekend,3,1,8.97,Low,Accessories,0
141306,2019-01-19 10:25:00,San Francisco,1,10,Saturday,Weekend,1,1,11.99,Low,Audio,0
141307,2019-01-11 11:18:00,Boston,1,11,Friday,Weekday,1,1,2.99,Low,Accessories,0
141308,2019-01-12 12:00:00,Portland,1,12,Saturday,Weekend,1,1,149.99,Medium,Electronics,0
141309,2019-01-20 07:02:00,San Francisco,1,7,Sunday,Weekend,2,1,5.98,Low,Accessories,0
141310,2019-01-07 13:32:00,San Francisco,1,13,Monday,Weekday,1,1,2.99,Low,Accessories,0
141311,2019-01-28 12:45:00,Atlanta,1,12,Monday,Weekday,1,1,379.99,High,Electronics,0
141312,2019-01-08 23:20:00,San Francisco,1,23,Tuesday,Weekday,1,1,150.0,High,Audio,0
141313,2019-01-09 15:03:00,Los Angeles,1,15,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141314,2019-01-13 23:51:00,New York City,1,23,Sunday,Weekend,1,1,1700.0,High,Electronics,0
141315,2019-01-10 01:32:00,Seattle,1,1,Thursday,Weekday,1,1,11.95,Low,Accessories,0
141316,2019-01-01 07:26:00,Seattle,1,7,Tuesday,Weekday,3,1,8.97,Low,Accessories,0
141317,2019-01-21 11:18:00,New York City,1,11,Monday,Weekday,1,1,149.99,Medium,Electronics,0
141318,2019-01-09 15:21:00,Boston,1,15,Wednesday,Weekday,1,1,99.99,Medium,Audio,0
141319,2019-01-01 10:43:00,Boston,1,10,Tuesday,Weekday,1,1,99.99,Medium,Audio,0
141320,2019-01-24 13:37:00,Los Angeles,1,13,Thursday,Weekday,1,1,3.84,Low,Accessories,0
141321,2019-01-10 09:07:00,Los Angeles,1,9,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141322,2019-01-12 21:56:00,Boston,1,21,Saturday,Weekend,2,1,5.98,Low,Accessories,0
141323,2019-01-17 21:54:00,New York City,1,21,Thursday,Weekday,1,1,11.95,Low,Accessories,0
141324,2019-01-04 23:36:00,San Francisco,1,23,Friday,Weekday,1,1,11.95,Low,Accessories,0
141325,2019-01-23 15:17:00,Austin,1,15,Wednesday,Weekday,1,1,99.99,Medium,Audio,0
141326,2019-01-05 13:49:00,San Francisco,1,13,Saturday,Weekend,1,1,600.0,High,Electronics,0
141327,2019-01-31 01:38:00,Los Angeles,1,1,Thursday,Weekday,1,1,11.95,Low,Accessories,0
141328,2019-01-06 23:18:00,Seattle,1,23,Sunday,Weekend,1,1,999.99,High,Electronics,0
141329,2019-01-01 16:01:00,Portland,1,16,Tuesday,Weekday,1,1,11.95,Low,Accessories,0
141330,2019-01-21 13:04:00,Portland,1,13,Monday,Weekday,1,1,11.99,Low,Audio,0
141331,2019-01-09 18:32:00,San Francisco,1,18,Wednesday,Weekday,1,1,300.0,High,Electronics,0
141332,2019-01-19 18:52:00,Los Angeles,1,18,Saturday,Weekend,1,1,11.95,Low,Accessories,0
141333,2019-01-01 13:58:00,Los Angeles,1,13,Tuesday,Weekday,1,1,149.99,Medium,Electronics,0
141334,2019-01-15 02:05:00,San Francisco,1,2,Tuesday,Weekday,1,1,11.95,Low,Accessories,0
141335,2019-01-12 18:16:00,Los Angeles,1,18,Saturday,Weekend,5,1,14.95,Medium,Accessories,0
141336,2019-01-09 18:23:00,Portland,1,18,Wednesday,Weekday,1,1,700.0,High,Electronics,0
141337,2019-01-09 09:22:00,San Francisco,1,9,Wednesday,Weekday,1,1,99.99,Medium,Audio,0
141338,2019-01-29 16:19:00,Dallas,1,16,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141339,2019-01-28 12:52:00,Dallas,1,12,Monday,Weekday,1,1,2.99,Low,Accessories,0
141340,2019-01-27 14:30:00,Boston,1,14,Sunday,Weekend,1,1,14.95,Medium,Accessories,0
141341,2019-01-13 10:09:00,Austin,1,10,Sunday,Weekend,1,1,600.0,High,Home Appliances,0
141342,2019-01-26 21:13:00,Seattle,1,21,Saturday,Weekend,1,1,11.99,Low,Audio,0
141343,2019-01-24 13:36:00,New York City,1,13,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141344,2019-01-20 12:38:00,Portland,1,12,Sunday,Weekend,1,1,150.0,High,Audio,0
141345,2019-01-09 13:55:00,San Francisco,1,13,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
141346,2019-01-14 13:59:00,Boston,1,13,Monday,Weekday,1,1,150.0,High,Audio,0
141347,2019-01-27 17:46:00,Atlanta,1,17,Sunday,Weekend,1,1,3.84,Low,Accessories,0
141348,2019-01-26 18:56:00,Portland,1,18,Saturday,Weekend,2,1,23.9,Medium,Accessories,0
141349,2019-01-03 20:51:00,New York City,1,20,Thursday,Weekday,1,1,14.95,Medium,Accessories,0
141350,2019-01-01 11:17:00,San Francisco,1,11,Tuesday,Weekday,1,1,14.95,Medium,Accessories,0
141351,2019-01-24 17:02:00,San Francisco,1,17,Thursday,Weekday,2,1,23.9,Medium,Accessories,0
141352,2019-01-11 19:07:00,Los Angeles,1,19,Friday,Weekday,1,1,14.95,Medium,Accessories,0
141353,2019-01-26 10:35:00,New York City,1,10,Saturday,Weekend,1,1,11.95,Low,Accessories,0
141354,2019-01-03 11:12:00,Atlanta,1,11,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141355,2019-01-18 15:24:00,Dallas,1,15,Friday,Weekday,1,1,389.99,High,Electronics,0
141356,2019-01-09 17:32:00,Boston,1,17,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141357,2019-01-23 05:30:00,Atlanta,1,5,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141358,2019-01-05 15:31:00,San Francisco,1,15,Saturday,Weekend,1,1,14.95,Medium,Accessories,0
141359,2019-01-09 22:21:00,Seattle,1,22,Wednesday,Weekday,2,1,5.98,Low,Accessories,0
141360,2019-01-17 21:00:00,Los Angeles,1,21,Thursday,Weekday,1,1,1700.0,High,Electronics,0
141361,2019-01-23 15:39:00,Portland,1,15,Wednesday,Weekday,2,1,300.0,High,Audio,0
141362,2019-01-02 22:17:00,Atlanta,1,22,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141363,2019-01-08 06:24:00,Dallas,1,6,Tuesday,Weekday,1,1,11.99,Low,Audio,0
141364,2019-01-01 07:46:00,Dallas,1,7,Tuesday,Weekday,1,1,3.84,Low,Accessories,0
141365,2019-01-10 11:19:00,New York City,1,11,Thursday,Weekday,2,2,411.99,High,"Audio, Electronics",1
141366,2019-01-17 22:34:00,Seattle,1,22,Thursday,Weekday,1,1,300.0,High,Electronics,0
141367,2019-01-09 10:06:00,San Francisco,1,10,Wednesday,Weekday,1,1,389.99,High,Electronics,0
141368,2019-01-10 21:39:00,Los Angeles,1,21,Thursday,Weekday,1,1,11.95,Low,Accessories,0
141369,2019-01-21 21:03:00,San Francisco,1,21,Monday,Weekday,1,1,14.95,Medium,Accessories,0
141370,2019-01-24 20:53:00,Seattle,1,20,Thursday,Weekday,2,1,5.98,Low,Accessories,0
141371,2019-01-23 18:34:00,Atlanta,1,18,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141372,2019-01-26 10:07:00,Portland,1,10,Saturday,Weekend,1,1,2.99,Low,Accessories,0
141373,2019-01-20 13:08:00,San Francisco,1,13,Sunday,Weekend,1,1,149.99,Medium,Electronics,0
141374,2019-01-14 10:12:00,Boston,1,10,Monday,Weekday,1,1,11.99,Low,Audio,0
141375,2019-01-10 13:51:00,Los Angeles,1,13,Thursday,Weekday,1,1,389.99,High,Electronics,0
141376,2019-01-20 14:57:00,Los Angeles,1,14,Sunday,Weekend,1,1,11.99,Low,Audio,0
141377,2019-01-20 15:12:00,San Francisco,1,15,Sunday,Weekend,1,1,11.99,Low,Audio,0
141378,2019-01-22 10:25:00,Boston,1,10,Tuesday,Weekday,1,1,11.95,Low,Accessories,0
141379,2019-01-25 18:00:00,San Francisco,1,18,Friday,Weekday,1,1,3.84,Low,Accessories,0
141380,2019-01-17 18:45:00,Los Angeles,1,18,Thursday,Weekday,1,1,11.95,Low,Accessories,0
141381,2019-01-03 18:22:00,Los Angeles,1,18,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141382,2019-01-16 13:50:00,Dallas,1,13,Wednesday,Weekday,1,1,2.99,Low,Accessories,0
141383,2019-01-08 10:01:00,Boston,1,10,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141384,2019-01-03 00:14:00,Boston,1,0,Thursday,Weekday,2,2,611.95,High,"Accessories, Electronics",1
141385,2019-01-10 12:59:00,Atlanta,1,12,Thursday,Weekday,1,1,1700.0,High,Electronics,0
141386,2019-01-08 19:27:00,New York City,1,19,Tuesday,Weekday,1,1,14.95,Medium,Accessories,0
141387,2019-01-17 11:12:00,San Francisco,1,11,Thursday,Weekday,1,1,2.99,Low,Accessories,0
141388,2019-01-22 10:53:00,Dallas,1,10,Tuesday,Weekday,1,1,14.95,Medium,Accessories,0
141389,2019-01-26 11:07:00,Los Angeles,1,11,Saturday,Weekend,1,1,3.84,Low,Accessories,0
141390,2019-01-26 11:22:00,New York City,1,11,Saturday,Weekend,1,1,11.99,Low,Audio,0
141391,2019-01-31 10:02:00,New York City,1,10,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141392,2019-01-25 13:51:00,Seattle,1,13,Friday,Weekday,1,1,150.0,High,Audio,0
141393,2019-01-18 17:57:00,Boston,1,17,Friday,Weekday,1,1,11.95,Low,Accessories,0
141394,2019-01-06 16:54:00,San Francisco,1,16,Sunday,Weekend,1,1,700.0,High,Electronics,0
141395,2019-01-29 16:20:00,Portland,1,16,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141396,2019-01-26 14:10:00,San Francisco,1,14,Saturday,Weekend,1,1,11.95,Low,Accessories,0
141397,2019-01-13 12:59:00,New York City,1,12,Sunday,Weekend,1,1,14.95,Medium,Accessories,0
141398,2019-01-04 16:31:00,Dallas,1,16,Friday,Weekday,1,1,2.99,Low,Accessories,0
141399,2019-01-17 09:57:00,Atlanta,1,9,Thursday,Weekday,1,1,999.99,High,Electronics,0
141400,2019-01-18 18:09:00,New York City,1,18,Friday,Weekday,1,1,14.95,Medium,Accessories,0
141401,2019-01-23 12:50:00,Portland,1,12,Wednesday,Weekday,1,1,150.0,High,Audio,0
141402,2019-01-07 12:56:00,Atlanta,1,12,Monday,Weekday,1,1,2.99,Low,Accessories,0
141403,2019-01-26 16:41:00,Boston,1,16,Saturday,Weekend,1,1,14.95,Medium,Accessories,0
141404,2019-01-29 20:06:00,San Francisco,1,20,Tuesday,Weekday,1,1,3.84,Low,Accessories,0
141405,2019-01-29 11:00:00,Los Angeles,1,11,Tuesday,Weekday,1,1,11.99,Low,Audio,0
141406,2019-01-28 12:02:00,Seattle,1,12,Monday,Weekday,1,1,11.95,Low,Accessories,0
141407,2019-01-01 16:06:00,Portland,1,16,Tuesday,Weekday,1,1,150.0,High,Audio,0
141408,2019-01-07 13:25:00,San Francisco,1,13,Monday,Weekday,1,1,150.0,High,Audio,0
141409,2019-01-01 21:49:00,Portland,1,21,Tuesday,Weekday,1,1,99.99,Medium,Audio,0
141410,2019-01-03 22:02:00,Dallas,1,22,Thursday,Weekday,1,1,149.99,Medium,Electronics,0
141411,2019-01-15 05:35:00,New York City,1,5,Tuesday,Weekday,1,1,11.99,Low,Audio,0
141412,2019-01-14 17:16:00,Atlanta,1,17,Monday,Weekday,2,1,7.68,Low,Accessories,0
141413,2019-01-24 17:54:00,San Francisco,1,17,Thursday,Weekday,1,1,3.84,Low,Accessories,0
141414,2019-01-26 03:38:00,New York City,1,3,Saturday,Weekend,1,1,600.0,High,Electronics,0
141415,2019-01-12 19:02:00,San Francisco,1,19,Saturday,Weekend,1,1,11.99,Low,Audio,0
141416,2019-01-02 13:37:00,Atlanta,1,13,Wednesday,Weekday,1,1,2.99,Low,Accessories,0
141417,2019-01-03 08:21:00,San Francisco,1,8,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141418,2019-01-10 12:48:00,New York City,1,12,Thursday,Weekday,1,1,150.0,High,Audio,0
141419,2019-01-22 11:53:00,San Francisco,1,11,Tuesday,Weekday,1,1,11.99,Low,Audio,0
141420,2019-01-09 12:19:00,San Francisco,1,12,Wednesday,Weekday,2,1,29.9,Medium,Accessories,0
141421,2019-01-24 13:18:00,Dallas,1,13,Thursday,Weekday,1,1,300.0,High,Electronics,0
141422,2019-01-16 22:23:00,Boston,1,22,Wednesday,Weekday,1,1,150.0,High,Audio,0
141423,2019-01-06 13:41:00,New York City,1,13,Sunday,Weekend,2,1,29.9,Medium,Accessories,0
141424,2019-01-13 19:49:00,Atlanta,1,19,Sunday,Weekend,1,1,150.0,High,Audio,0
141425,2019-01-19 14:59:00,Atlanta,1,14,Saturday,Weekend,1,1,11.99,Low,Audio,0
141426,2019-01-12 12:57:00,Dallas,1,12,Saturday,Weekend,1,1,600.0,High,Electronics,0
141427,2019-01-16 14:44:00,Los Angeles,1,14,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
141428,2019-01-22 10:06:00,New York City,1,10,Tuesday,Weekday,1,1,3.84,Low,Accessories,0
141429,2019-01-21 06:04:00,Atlanta,1,6,Monday,Weekday,1,1,150.0,High,Audio,0
141430,2019-01-23 21:37:00,Los Angeles,1,21,Wednesday,Weekday,1,1,379.99,High,Electronics,0
141431,2019-01-04 07:16:00,Los Angeles,1,7,Friday,Weekday,1,1,11.95,Low,Accessories,0
141432,2019-01-18 22:38:00,San Francisco,1,22,Friday,Weekday,1,1,11.95,Low,Accessories,0
141433,2019-01-15 20:08:00,San Francisco,1,20,Tuesday,Weekday,1,1,600.0,High,Electronics,0
141434,2019-01-13 19:03:00,San Francisco,1,19,Sunday,Weekend,1,1,389.99,High,Electronics,0
141435,2019-01-15 10:55:00,Atlanta,1,10,Tuesday,Weekday,1,1,11.95,Low,Accessories,0
141436,2019-01-03 07:59:00,San Francisco,1,7,Thursday,Weekday,1,1,99.99,Medium,Audio,0
141437,2019-01-10 15:40:00,New York City,1,15,Thursday,Weekday,1,1,700.0,High,Electronics,0
141438,2019-01-29 17:36:00,Seattle,1,17,Tuesday,Weekday,2,1,23.98,Medium,Audio,0
141439,2019-01-09 20:49:00,Boston,1,20,Wednesday,Weekday,1,1,300.0,High,Electronics,0
141440,2019-01-31 23:10:00,San Francisco,1,23,Thursday,Weekday,1,1,600.0,High,Electronics,0
141441,2019-01-20 19:08:00,Los Angeles,1,19,Sunday,Weekend,1,1,3.84,Low,Accessories,0
141442,2019-01-06 10:27:00,New York City,1,10,Sunday,Weekend,1,1,600.0,High,Electronics,0
141443,2019-01-15 19:22:00,Los Angeles,1,19,Tuesday,Weekday,1,1,14.95,Medium,Accessories,0
141444,2019-01-22 22:56:00,San Francisco,1,22,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141445,2019-01-23 21:37:00,Los Angeles,1,21,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
141446,2019-01-16 20:03:00,Seattle,1,20,Wednesday,Weekday,1,1,99.99,Medium,Audio,0
141447,2019-01-15 21:14:00,Boston,1,21,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141448,2019-01-07 15:50:00,San Francisco,1,15,Monday,Weekday,1,1,99.99,Medium,Audio,0
141449,2019-01-25 15:41:00,Boston,1,15,Friday,Weekday,1,1,11.95,Low,Accessories,0
141450,2019-01-12 11:16:00,San Francisco,1,11,Saturday,Weekend,2,2,699.99,High,"Audio, Electronics",1
141451,2019-01-18 18:01:00,Portland,1,18,Friday,Weekday,1,1,3.84,Low,Accessories,0
141452,2019-01-16 13:37:00,Austin,1,13,Wednesday,Weekday,1,1,99.99,Medium,Audio,0
141453,2019-01-06 13:09:00,Atlanta,1,13,Sunday,Weekend,1,1,1700.0,High,Electronics,0
141454,2019-01-12 21:43:00,New York City,1,21,Saturday,Weekend,1,1,99.99,Medium,Audio,0
141455,2019-01-06 09:26:00,Los Angeles,1,9,Sunday,Weekend,1,1,150.0,High,Audio,0
141456,2019-01-05 13:28:00,Boston,1,13,Saturday,Weekend,1,1,2.99,Low,Accessories,0
141457,2019-01-09 22:11:00,Seattle,1,22,Wednesday,Weekday,2,2,850.0,High,"Audio, Electronics",1
141458,2019-01-29 01:12:00,San Francisco,1,1,Tuesday,Weekday,1,1,700.0,High,Electronics,0
141459,2019-01-07 13:20:00,New York City,1,13,Monday,Weekday,1,1,2.99,Low,Accessories,0
141460,2019-01-26 17:29:00,New York City,1,17,Saturday,Weekend,1,1,700.0,High,Electronics,0
141461,2019-01-02 10:34:00,Dallas,1,10,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141462,2019-01-30 23:34:00,Atlanta,1,23,Wednesday,Weekday,1,1,11.99,Low,Audio,0
141463,2019-01-22 18:14:00,Boston,1,18,Tuesday,Weekday,1,1,150.0,High,Audio,0
141464,2019-01-31 01:03:00,New York City,1,1,Thursday,Weekday,2,1,7.68,Low,Accessories,0
141465,2019-01-30 11:24:00,Atlanta,1,11,Wednesday,Weekday,1,1,14.95,Medium,Accessories,0
141466,2019-01-24 16:09:00,Seattle,1,16,Thursday,Weekday,2,1,5.98,Low,Accessories,0
141467,2019-01-22 19:48:00,Boston,1,19,Tuesday,Weekday,1,1,99.99,Medium,Audio,0
141468,2019-01-07 15:21:00,Austin,1,15,Monday,Weekday,1,1,300.0,High,Electronics,0
141469,2019-01-02 07:44:00,San Francisco,1,7,Wednesday,Weekday,1,1,300.0,High,Electronics,0
141470,2019-01-09 17:29:00,Boston,1,17,Wednesday,Weekday,1,1,2.99,Low,Accessories,0
141471,2019-01-17 14:21:00,Los Angeles,1,14,Thursday,Weekday,1,1,150.0,High,Audio,0
141472,2019-01-27 07:05:00,San Francisco,1,7,Sunday,Weekend,1,1,700.0,High,Electronics,0
141473,2019-01-11 16:48:00,San Francisco,1,16,Friday,Weekday,1,1,700.0,High,Electronics,0
141474,2019-01-17 22:58:00,Boston,1,22,Thursday,Weekday,1,1,150.0,High,Audio,0
141475,2019-01-07 08:41:00,Boston,1,8,Monday,Weekday,1,1,14.95,Medium,Accessories,0
141476,2019-01-06 15:38:00,New York City,1,15,Sunday,Weekend,1,1,700.0,High,Electronics,0
141477,2019-01-20 09:24:00,San Francisco,1,9,Sunday,Weekend,1,1,3.84,Low,Accessories,0
141478,2019-01-26 13:32:00,Atlanta,1,13,Saturday,Weekend,2,2,750.0,High,"Audio, Electronics",1
141479,2019-01-12 19:24:00,Atlanta,1,19,Saturday,Weekend,1,1,99.99,Medium,Audio,0
141480,2019-01-20 12:32:00,Portland,1,12,Sunday,Weekend,2,1,7.68,Low,Accessories,0
141481,2019-01-26 22:19:00,New York City,1,22,Saturday,Weekend,1,1,3.84,Low,Accessories,0
141482,2019-01-28 13:10:00,Portland,1,13,Monday,Weekday,1,1,11.95,Low,Accessories,0
141483,2019-01-21 15:57:00,Austin,1,15,Monday,Weekday,1,1,300.0,High,Electronics,0
141484,2019-01-29 21:06:00,Los Angeles,1,21,Tuesday,Weekday,1,1,11.95,Low,Accessories,0
141485,2019-01-07 21:06:00,New York City,1,21,Monday,Weekday,1,1,389.99,High,Electronics,0
141486,2019-01-14 13:29:00,Los Angeles,1,13,Monday,Weekday,1,1,11.95,Low,Accessories,0
141487,2019-01-19 18:28:00,San Francisco,1,18,Saturday,Weekend,1,1,99.99,Medium,Audio,0
141488,2019-01-13 14:33:00,Los Angeles,1,14,Sunday,Weekend,1,1,99.99,Medium,Audio,0
141489,2019-01-04 11:21:00,Los Angeles,1,11,Friday,Weekday,2,1,5.98,Low,Accessories,0
141490,2019-01-24 09:54:00,New York City,1,9,Thursday,Weekday,1,1,149.99,Medium,Electronics,0
141491,2019-01-25 11:10:00,Portland,1,11,Friday,Weekday,1,1,99.99,Medium,Audio,0
141492,2019-01-18 09:23:00,Dallas,1,9,Friday,Weekday,1,1,109.99,Medium,Electronics,0
